,Fp1,Fp2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Marker
10,-68663.95546960301,-65960.17670156679,-100571.92004584313,-83680.28207782294,-76323.13833512526,-69402.4794581508,-64994.13430620841,-80131.54031414275,-46028.27680448018,-54047.0098313105,-45564.83573494384,-127743.3488063036,-92049.3786989902,-81793.16899695028,-61321.00508463444,-70369.12535060947,0
11,-68663.95546960301,-65960.17670156679,-100571.92004584313,-83680.28207782294,-76323.13833512526,-69402.4794581508,-64994.13430620841,-80131.54031414275,-46028.27680448018,-54047.0098313105,-45564.83573494384,-127743.3488063036,-92049.3786989902,-81793.16899695028,-61321.00508463444,-70369.12535060947,0
12,-68663.95546960301,-65960.17670156679,-100571.92004584313,-83680.28207782294,-76323.13833512526,-69402.4794581508,-64994.13430620841,-80131.54031414275,-46028.27680448018,-54047.0098313105,-45564.83573494384,-127743.3488063036,-92049.3786989902,-81793.16899695028,-61321.00508463444,-70369.12535060947,0
13,-68617.82146904725,-65917.19429697923,-100521.09217895177,-83632.2928824774,-76279.12775029276,-69350.66811450341,-64913.980950591686,-80074.36455182607,-46002.43818788984,-54030.84952006931,-45642.195122503654,-128022.9691294395,-92027.25047197944,-81773.76768276306,-61281.30838648181,-70362.44217901734,0
14,-68617.82146904725,-65917.19429697923,-100521.09217895177,-83632.2928824774,-76279.12775029276,-69350.66811450341,-64913.980950591686,-80074.36455182607,-46002.43818788984,-54030.84952006931,-45642.195122503654,-128022.9691294395,-92027.25047197944,-81773.76768276306,-61281.30838648181,-70362.44217901734,0
15,-68617.82146904725,-65917.19429697923,-100521.09217895177,-83632.2928824774,-76279.12775029276,-69350.66811450341,-64913.980950591686,-80074.36455182607,-46002.43818788984,-54030.84952006931,-45642.195122503654,-128022.9691294395,-92027.25047197944,-81773.76768276306,-61281.30838648181,-70362.44217901734,0
16,-68617.82146904725,-65917.19429697923,-100521.09217895177,-83632.2928824774,-76279.12775029276,-69350.66811450341,-64913.980950591686,-80074.36455182607,-46002.43818788984,-54030.84952006931,-45642.195122503654,-128022.9691294395,-92027.25047197944,-81773.76768276306,-61281.30838648181,-70362.44217901734,0
17,-68617.82146904725,-65917.19429697923,-100521.09217895177,-83632.2928824774,-76279.12775029276,-69350.66811450341,-64913.980950591686,-80074.36455182607,-46002.43818788984,-54030.84952006931,-45642.195122503654,-128022.9691294395,-92027.25047197944,-81773.76768276306,-61281.30838648181,-70362.44217901734,0
18,-68692.67746122807,-65904.0067677506,-100497.30992285132,-83630.03535628741,-76262.76627335147,-69340.1180911205,-64903.7214998867,-80025.07895530212,-45973.917361964865,-54011.604668093285,-45693.64883823977,-127630.62895901549,-92013.05711425032,-81762.7482727466,-61247.17727269856,-70324.51126867668,0
19,-68692.67746122807,-65904.0067677506,-100497.30992285132,-83630.03535628741,-76262.76627335147,-69340.1180911205,-64903.7214998867,-80025.07895530212,-45973.917361964865,-54011.604668093285,-45693.64883823977,-127630.62895901549,-92013.05711425032,-81762.7482727466,-61247.17727269856,-70324.51126867668,0
20,-68692.67746122807,-65904.0067677506,-100497.30992285132,-83630.03535628741,-76262.76627335147,-69340.1180911205,-64903.7214998867,-80025.07895530212,-45973.917361964865,-54011.604668093285,-45693.64883823977,-127630.62895901549,-92013.05711425032,-81762.7482727466,-61247.17727269856,-70324.51126867668,0
21,-68692.67746122807,-65904.0067677506,-100497.30992285132,-83630.03535628741,-76262.76627335147,-69340.1180911205,-64903.7214998867,-80025.07895530212,-45973.917361964865,-54011.604668093285,-45693.64883823977,-127630.62895901549,-92013.05711425032,-81762.7482727466,-61247.17727269856,-70324.51126867668,0
22,-68692.67746122807,-65904.0067677506,-100497.30992285132,-83630.03535628741,-76262.76627335147,-69340.1180911205,-64903.7214998867,-80025.07895530212,-45973.917361964865,-54011.604668093285,-45693.64883823977,-127630.62895901549,-92013.05711425032,-81762.7482727466,-61247.17727269856,-70324.51126867668,0
23,-68676.47244649798,-65878.68224128273,-100486.17875411258,-83618.1889317261,-76248.30469468888,-69329.29984680413,-64898.111212028416,-80051.0963858481,-45970.40813808538,-54020.143034475215,-45796.556269712004,-127093.31537405436,-92016.54398638535,-81761.11659540137,-61245.478540119955,-70273.70575352976,0
24,-68676.47244649798,-65878.68224128273,-100486.17875411258,-83618.1889317261,-76248.30469468888,-69329.29984680413,-64898.111212028416,-80051.0963858481,-45970.40813808538,-54020.143034475215,-45796.556269712004,-127093.31537405436,-92016.54398638535,-81761.11659540137,-61245.478540119955,-70273.70575352976,0
25,-68676.47244649798,-65878.68224128273,-100486.17875411258,-83618.1889317261,-76248.30469468888,-69329.29984680413,-64898.111212028416,-80051.0963858481,-45970.40813808538,-54020.143034475215,-45796.556269712004,-127093.31537405436,-92016.54398638535,-81761.11659540137,-61245.478540119955,-70273.70575352976,0
26,-68676.47244649798,-65878.68224128273,-100486.17875411258,-83618.1889317261,-76248.30469468888,-69329.29984680413,-64898.111212028416,-80051.0963858481,-45970.40813808538,-54020.143034475215,-45796.556269712004,-127093.31537405436,-92016.54398638535,-81761.11659540137,-61245.478540119955,-70273.70575352976,0
27,-68588.943015211,-65880.67154653926,-100462.32944277876,-83609.22588219952,-76216.5428658179,-69306.38930873745,-64865.50001686812,-80019.96040582185,-45937.014631869155,-53985.72134801404,-45823.57952875847,-126983.65771575664,-91988.00080871592,-81720.14584781478,-61191.70024296048,-70205.39882247434,0
28,-68588.943015211,-65880.67154653926,-100462.32944277876,-83609.22588219952,-76216.5428658179,-69306.38930873745,-64865.50001686812,-80019.96040582185,-45937.014631869155,-53985.72134801404,-45823.57952875847,-126983.65771575664,-91988.00080871592,-81720.14584781478,-61191.70024296048,-70205.39882247434,0
29,-68588.943015211,-65880.67154653926,-100462.32944277876,-83609.22588219952,-76216.5428658179,-69306.38930873745,-64865.50001686812,-80019.96040582185,-45937.014631869155,-53985.72134801404,-45823.57952875847,-126983.65771575664,-91988.00080871592,-81720.14584781478,-61191.70024296048,-70205.39882247434,0
30,-68588.943015211,-65880.67154653926,-100462.32944277876,-83609.22588219952,-76216.5428658179,-69306.38930873745,-64865.50001686812,-80019.96040582185,-45937.014631869155,-53985.72134801404,-45823.57952875847,-126983.65771575664,-91988.00080871592,-81720.14584781478,-61191.70024296048,-70205.39882247434,0
31,-68588.943015211,-65880.67154653926,-100462.32944277876,-83609.22588219952,-76216.5428658179,-69306.38930873745,-64865.50001686812,-80019.96040582185,-45937.014631869155,-53985.72134801404,-45823.57952875847,-126983.65771575664,-91988.00080871592,-81720.14584781478,-61191.70024296048,-70205.39882247434,0
32,-68576.04605866029,-65868.28868011101,-100460.69776543354,-83603.30266991886,-76201.00840342145,-69300.9131313459,-64860.85085402142,-80014.19365575239,-45925.95051836378,-53985.14020265821,-45906.77272162113,-126738.28026512628,-91969.62767477366,-81717.21776929114,-61190.0909173597,-70227.70586344074,0
33,-68576.04605866029,-65868.28868011101,-100460.69776543354,-83603.30266991886,-76201.00840342145,-69300.9131313459,-64860.85085402142,-80014.19365575239,-45925.95051836378,-53985.14020265821,-45906.77272162113,-126738.28026512628,-91969.62767477366,-81717.21776929114,-61190.0909173597,-70227.70586344074,0
34,-68576.04605866029,-65868.28868011101,-100460.69776543354,-83603.30266991886,-76201.00840342145,-69300.9131313459,-64860.85085402142,-80014.19365575239,-45925.95051836378,-53985.14020265821,-45906.77272162113,-126738.28026512628,-91969.62767477366,-81717.21776929114,-61190.0909173597,-70227.70586344074,0
35,-68576.04605866029,-65868.28868011101,-100460.69776543354,-83603.30266991886,-76201.00840342145,-69300.9131313459,-64860.85085402142,-80014.19365575239,-45925.95051836378,-53985.14020265821,-45906.77272162113,-126738.28026512628,-91969.62767477366,-81717.21776929114,-61190.0909173597,-70227.70586344074,0
36,-68605.48330610793,-65837.30916229596,-100397.88936351411,-83565.61762876721,-76159.50121396795,-69249.45941560977,-64800.32233003645,-79948.23365786478,-45893.33932320349,-53932.01010608794,-45933.28189054512,-125550.35210256006,-91938.37993602514,-81666.85928903334,-61129.02595150781,-70128.79939422601,0
37,-68605.48330610793,-65837.30916229596,-100397.88936351411,-83565.61762876721,-76159.50121396795,-69249.45941560977,-64800.32233003645,-79948.23365786478,-45893.33932320349,-53932.01010608794,-45933.28189054512,-125550.35210256006,-91938.37993602514,-81666.85928903334,-61129.02595150781,-70128.79939422601,0
38,-68605.48330610793,-65837.30916229596,-100397.88936351411,-83565.61762876721,-76159.50121396795,-69249.45941560977,-64800.32233003645,-79948.23365786478,-45893.33932320349,-53932.01010608794,-45933.28189054512,-125550.35210256006,-91938.37993602514,-81666.85928903334,-61129.02595150781,-70128.79939422601,0
39,-68605.48330610793,-65837.30916229596,-100397.88936351411,-83565.61762876721,-76159.50121396795,-69249.45941560977,-64800.32233003645,-79948.23365786478,-45893.33932320349,-53932.01010608794,-45933.28189054512,-125550.35210256006,-91938.37993602514,-81666.85928903334,-61129.02595150781,-70128.79939422601,0
